          VERSOR NORMAL         ,   AREA [m2]     ,          CP      
  0.000    0.000    1.000     0.025     0.281403635015
  0.000    0.000    1.000     0.025     0.281401269782
  0.000    0.000    1.000     0.025     0.281395160659
  0.000    0.000    1.000     0.025     0.281385985126
  0.000    0.000    1.000     0.025     0.281373864607
  0.000    0.000    1.000     0.025     0.281356192885
  0.000    0.000    1.000     0.025     0.281339374392
  0.000    0.000    1.000     0.025     0.281316823368
  0.000    0.000    1.000     0.025     0.281290962713
  0.000    0.000    1.000     0.025     0.281261484263
  0.000    0.000    1.000     0.025     0.281228202034
  0.000    0.000    1.000     0.025     0.281190927156
  0.000    0.000    1.000     0.025     0.281149450209
  0.000    0.000    1.000     0.025     0.281103538986
  0.000    0.000    1.000     0.025     0.281052951611
  0.000    0.000    1.000     0.025     0.280997556986
  0.000    0.000    1.000     0.025     0.280934480363
  0.000    0.000    1.000     0.025     0.280869821550
  0.000    0.000    1.000     0.025     0.280796682479
  0.000    0.000    1.000     0.025     0.280717129598
  0.000    0.000    1.000     0.025     0.280630467189
  0.000    0.000    1.000     0.025     0.280536080830
  0.000    0.000    1.000     0.025     0.280433306652
  0.000    0.000    1.000     0.025     0.280321406878
  0.000    0.000    1.000     0.025     0.280199559737
  0.000    0.000    1.000     0.025     0.280066863482
  0.000    0.000    1.000     0.025     0.279922445979
  0.000    0.000    1.000     0.025     0.279762609563
  0.000    0.000    1.000     0.025     0.279592487526
  0.000    0.000    1.000     0.025     0.279404144754
  0.000    0.000    1.000     0.025     0.279198431000
  0.000    0.000    1.000     0.025     0.278973279960
  0.000    0.000    1.000     0.025     0.278726513719
  0.000    0.000    1.000     0.025     0.278455680986
  0.000    0.000    1.000     0.025     0.278157994968
  0.000    0.000    1.000     0.025     0.277830278214
  0.000    0.000    1.000     0.025     0.277468912395
  0.000    0.000    1.000     0.025     0.277069881591
  0.000    0.000    1.000     0.025     0.276625869334
  0.000    0.000    1.000     0.025     0.276137690286
  0.000    0.000    1.000     0.025     0.275592514125
  0.000    0.000    1.000     0.025     0.274985333424
  0.000    0.000    1.000     0.025     0.274307212170
  0.000    0.000    1.000     0.025     0.273547833823
  0.000    0.000    1.000     0.025     0.272695059548
  0.000    0.000    1.000     0.025     0.271734509397
  0.000    0.000    1.000     0.025     0.270649051316
  0.000    0.000    1.000     0.025     0.269418163065
  0.000    0.000    1.000     0.025     0.268017207698
  0.000    0.000    1.000     0.025     0.266413629456
  0.000    0.000    1.000     0.025     0.264576628297
  0.000    0.000    1.000     0.025     0.262454378290
  0.000    0.000    1.000     0.025     0.259992268742
  0.000    0.000    1.000     0.025     0.257118196236
  0.000    0.000    1.000     0.025     0.253740275266
  0.000    0.000    1.000     0.025     0.249739654483
  0.000    0.000    1.000     0.025     0.244960310815
  0.000    0.000    1.000     0.025     0.239194076747
  0.000    0.000    1.000     0.025     0.232158224194
  0.000    0.000    1.000     0.025     0.223461320490
  0.000    0.000    1.000     0.025     0.212547930660
  0.000    0.000    1.000     0.025     0.198624219432
  0.000    0.000    1.000     0.025     0.180511954344
  0.000    0.000    1.000     0.025     0.156473474878
  0.000    0.000    1.000     0.025     0.123939414720
  0.000    0.000    1.000     0.025     0.079336086269
  0.000   -0.000    1.000     0.025     0.173190692503
  0.000   -0.000    1.000     0.025     0.173190003663
  0.000   -0.000    1.000     0.025     0.173187201293
  0.000   -0.000    1.000     0.025     0.173182959345
  0.000   -0.000    1.000     0.025     0.173177309638
  0.000   -0.000    1.000     0.025     0.173170249202
  0.000   -0.000    1.000     0.025     0.173161558428
  0.000   -0.000    1.000     0.025     0.173151356858
  0.000   -0.000    1.000     0.025     0.173139546002
  0.000   -0.000    1.000     0.025     0.173125990517
  0.000   -0.000    1.000     0.025     0.173110614198
  0.000   -0.000    1.000     0.025     0.173093320167
  0.000   -0.000    1.000     0.025     0.173073990468
  0.000   -0.000    1.000     0.025     0.173052484641
  0.000   -0.000    1.000     0.025     0.173028637221
  0.000   -0.000    1.000     0.025     0.173002334649
  0.000   -0.000    1.000     0.025     0.172973414571
  0.000   -0.000    1.000     0.025     0.172941487452
  0.000   -0.000    1.000     0.025     0.172906479687
  0.000   -0.000    1.000     0.025     0.172868083467
  0.000   -0.000    1.000     0.025     0.172825930339
  0.000   -0.000    1.000     0.025     0.172779684269
  0.000   -0.000    1.000     0.025     0.172728958014
